epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,12976.6,1.05317,0.93757,1.40765,0.80199,0.74171,0.76638,0.45297,1.54307,1.03234,2.05732,0.001684,0.001684,0.001684
86,13124.4,1.04885,0.92271,1.40219,0.79916,0.74335,0.76596,0.4529,1.54365,1.03208,2.05828,0.001585,0.001585,0.001585
87,13279.8,1.0431,0.9158,1.39581,0.79642,0.74687,0.76682,0.45314,1.54419,1.03304,2.06065,0.001486,0.001486,0.001486
88,13431.7,1.03344,0.91492,1.39785,0.79871,0.74453,0.76659,0.45365,1.54474,1.03355,2.06369,0.001387,0.001387,0.001387
89,13585.2,1.03651,0.91095,1.39137,0.80635,0.73822,0.76601,0.45266,1.54578,1.03529,2.06659,0.001288,0.001288,0.001288
90,13736.8,1.02496,0.89618,1.38444,0.80829,0.73724,0.76649,0.45322,1.54658,1.03816,2.0687,0.001189,0.001189,0.001189
91,13888.5,0.9688,0.593,1.46112,0.80719,0.73648,0.76601,0.45232,1.54709,1.03849,2.06965,0.00109,0.00109,0.00109
92,14036.6,0.94212,0.55466,1.43266,0.80971,0.73375,0.76513,0.45284,1.54792,1.04047,2.07186,0.000991,0.000991,0.000991
93,14182.5,0.92832,0.54432,1.41513,0.81353,0.73953,0.76626,0.45333,1.54836,1.0393,2.07423,0.000892,0.000892,0.000892
94,14334.2,0.90766,0.5318,1.401,0.8114,0.73542,0.76661,0.45324,1.54903,1.03817,2.07652,0.000793,0.000793,0.000793
95,14483.1,0.89973,0.52441,1.39374,0.81261,0.73806,0.76684,0.453,1.55031,1.03907,2.07999,0.000694,0.000694,0.000694
96,14627.5,0.89318,0.522,1.38741,0.81123,0.73739,0.7667,0.45188,1.55151,1.03877,2.08277,0.000595,0.000595,0.000595
